student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,feedback
STU00385,2023-2024,Sciences,Library,4,2024-07-10,Not satisfied
STU00026,2024-2025,Education,Lab Facilities,2,2024-07-12,Very satisfied
STU00437,2024-2025,Law,Lab Facilities,4,2024-07-12,Not satisfied
STU00010,2024-2025,Engineering,Medical Center,5,2024-07-12,Good experience
STU00201,2023-2024,Engineering,Student Center,4,2024-07-16,Good experience
STU00286,2023-2024,Computer Science,Lab Facilities,4,2024-07-17,Excellent service
STU00428,2024-2025,Arts,Sports Center,2,2024-07-18,Needs improvement
STU00441,2023-2024,Arts,Library,2,2024-07-19,Average facilities
STU00055,2023-2024,Computer Science,Library,4,2024-07-19,Needs improvement
STU00149,2023-2024,Sciences,Sports Center,1,2024-07-20,Excellent service
STU00401,2024-2025,Medicine,Sports Center,5,2024-07-20,Poor quality
STU00227,2023-2024,Business,Parking,4,2024-07-21,Excellent service
STU00393,2024-2025,Computer Science,Medical Center,4,2024-07-21,Very satisfied
STU00310,2024-2025,Medicine,Dormitory,4,2024-07-23,Poor quality
STU00097,2024-2025,Medicine,Cafeteria,2,2024-07-24,Good experience
STU00456,2023-2024,Business,Student Center,5,2024-07-27,Not satisfied
STU00121,2024-2025,Arts,Cafeteria,4,2024-07-28,Very satisfied
STU00022,2023-2024,Education,Library,5,2024-07-28,Satisfactory
STU00431,2023-2024,Education,Library,5,2024-07-28,Good experience
STU00370,2023-2024,Law,Cafeteria,2,2024-07-30,Poor quality
STU00350,2023-2024,Law,Student Center,4,2024-08-01,Average facilities
STU00191,2023-2024,Engineering,Sports Center,3,2024-08-03,Needs improvement
STU00109,2024-2025,Arts,Lab Facilities,4,2024-08-03,Needs improvement
STU00340,2024-2025,Medicine,Lab Facilities,3,2024-08-06,Poor quality
STU00249,2023-2024,Computer Science,Cafeteria,5,2024-08-07,Good experience
STU00250,2023-2024,Engineering,Dormitory,4,2024-08-13,Poor quality
STU00060,2023-2024,Law,Dormitory,2,2024-08-14,Needs improvement
STU00342,2024-2025,Sciences,Medical Center,4,2024-08-15,Not satisfied
STU00318,2023-2024,Business,Medical Center,2,2024-08-16,Not satisfied
STU00440,2023-2024,Engineering,Sports Center,5,2024-08-19,Not satisfied
STU00349,2024-2025,Education,Medical Center,5,2024-08-20,Needs improvement
STU00126,2024-2025,Engineering,Medical Center,3,2024-08-20,Very satisfied
STU00324,2024-2025,Education,Lab Facilities,1,2024-08-21,Needs improvement
STU00124,2023-2024,Engineering,Parking,4,2024-08-21,Satisfactory
STU00229,2023-2024,Medicine,Lab Facilities,4,2024-08-25,Satisfactory
STU00226,2024-2025,Medicine,Lab Facilities,3,2024-08-25,Satisfactory
STU00030,2024-2025,Engineering,Student Center,4,2024-08-26,Average facilities
STU00012,2023-2024,Engineering,Student Center,3,2024-08-27,Needs improvement
STU00343,2023-2024,Computer Science,Parking,4,2024-08-31,Good experience
STU00334,2023-2024,Arts,Medical Center,5,2024-09-01,Very satisfied
STU00141,2024-2025,Law,Lab Facilities,5,2024-09-02,Excellent service
STU00145,2024-2025,Sciences,Dormitory,4,2024-09-02,Very satisfied
STU00181,2023-2024,Sciences,Lab Facilities,2,2024-09-05,Satisfactory
STU00020,2023-2024,Engineering,Student Center,5,2024-09-08,Good experience
STU00047,2024-2025,Medicine,Sports Center,5,2024-09-10,Not satisfied
STU00405,2024-2025,Business,Cafeteria,4,2024-09-11,Excellent service
STU00205,2024-2025,Medicine,Student Center,4,2024-09-13,Not satisfied
STU00086,2023-2024,Education,Library,4,2024-09-15,Not satisfied
STU00173,2023-2024,Law,Sports Center,5,2024-09-15,Average facilities
STU00388,2023-2024,Law,Dormitory,4,2024-09-18,Satisfactory
STU00058,2023-2024,Law,Parking,5,2024-09-25,Excellent service
STU00345,2023-2024,Medicine,Parking,3,2024-09-26,Poor quality
STU00458,2024-2025,Computer Science,Dormitory,4,2024-09-27,Satisfactory
STU00369,2023-2024,Education,Library,3,2024-09-28,Satisfactory
STU00169,2023-2024,Medicine,Sports Center,5,2024-10-02,Excellent service
STU00137,2023-2024,Computer Science,Parking,4,2024-10-04,Very satisfied
STU00057,2024-2025,Sciences,Medical Center,5,2024-10-05,Average facilities
STU00234,2024-2025,Sciences,Library,2,2024-10-08,Poor quality
STU00410,2024-2025,Law,Cafeteria,1,2024-10-11,Satisfactory
STU00417,2023-2024,Engineering,Library,5,2024-10-11,Poor quality
STU00074,2024-2025,Engineering,Sports Center,4,2024-10-12,Needs improvement
STU00087,2024-2025,Law,Library,5,2024-10-12,Average facilities
STU00424,2023-2024,Education,Parking,3,2024-10-14,Poor quality
STU00171,2024-2025,Computer Science,Medical Center,5,2024-10-16,Needs improvement
STU00001,2023-2024,Education,Lab Facilities,2,2024-10-16,Poor quality
STU00095,2024-2025,Arts,Cafeteria,2,2024-10-17,Poor quality
STU00493,2023-2024,Engineering,Parking,5,2024-10-18,Satisfactory
STU00156,2024-2025,Medicine,Library,5,2024-10-18,Satisfactory
STU00115,2023-2024,Law,Parking,4,2024-10-20,Very satisfied
STU00362,2023-2024,Computer Science,Lab Facilities,3,2024-10-22,Very satisfied
STU00267,2024-2025,Medicine,Parking,3,2024-10-23,Needs improvement
STU00084,2024-2025,Engineering,Dormitory,3,2024-10-25,Not satisfied
STU00215,2023-2024,Sciences,Cafeteria,3,2024-10-27,Not satisfied
STU00024,2024-2025,Education,Cafeteria,4,2024-10-27,Poor quality
STU00289,2023-2024,Sciences,Dormitory,2,2024-10-29,Average facilities
STU00266,2024-2025,Business,Sports Center,5,2024-10-31,Good experience
STU00389,2023-2024,Arts,Parking,4,2024-10-31,Satisfactory
STU00112,2023-2024,Engineering,Library,4,2024-11-02,Very satisfied
STU00348,2024-2025,Engineering,Parking,3,2024-11-04,Good experience
STU00258,2024-2025,Business,Sports Center,5,2024-11-05,Very satisfied
STU00485,2023-2024,Sciences,Parking,4,2024-11-06,Good experience
STU00199,2023-2024,Engineering,Sports Center,5,2024-11-06,Very satisfied
STU00311,2024-2025,Business,Sports Center,5,2024-11-08,Good experience
STU00065,2023-2024,Arts,Lab Facilities,5,2024-11-08,Needs improvement
STU00395,2023-2024,Arts,Student Center,3,2024-11-10,Poor quality
STU00453,2024-2025,Medicine,Medical Center,1,2024-11-13,Not satisfied
STU00392,2023-2024,Education,Lab Facilities,3,2024-11-14,Satisfactory
STU00468,2023-2024,Law,Lab Facilities,4,2024-11-16,Satisfactory
STU00244,2023-2024,Medicine,Parking,4,2024-11-16,Needs improvement
STU00355,2024-2025,Education,Cafeteria,5,2024-11-16,Average facilities
STU00080,2024-2025,Engineering,Library,4,2024-11-17,Not satisfied
STU00214,2023-2024,Arts,Lab Facilities,4,2024-11-18,Not satisfied
STU00361,2024-2025,Arts,Lab Facilities,5,2024-11-18,Poor quality
STU00265,2023-2024,Medicine,Lab Facilities,5,2024-11-20,Needs improvement
STU00336,2024-2025,Arts,Lab Facilities,4,2024-11-22,Not satisfied
STU00009,2023-2024,Sciences,Dormitory,5,2024-11-23,Very satisfied
STU00496,2023-2024,Medicine,Student Center,4,2024-11-26,Good experience
STU00151,2023-2024,Education,Student Center,3,2024-11-27,Very satisfied
STU00139,2023-2024,Engineering,Dormitory,2,2024-11-27,Not satisfied
STU00153,2023-2024,Education,Dormitory,3,2024-11-29,Needs improvement
STU00451,2024-2025,Business,Medical Center,5,2024-11-29,Poor quality
STU00083,2023-2024,Arts,Student Center,2,2024-11-30,Satisfactory
STU00099,2024-2025,Arts,Lab Facilities,4,2024-12-02,Needs improvement
STU00409,2024-2025,Education,Parking,5,2024-12-04,Needs improvement
STU00096,2024-2025,Arts,Cafeteria,4,2024-12-05,Not satisfied
STU00209,2024-2025,Sciences,Library,3,2024-12-07,Not satisfied
STU00435,2024-2025,Sciences,Dormitory,2,2024-12-08,Poor quality
STU00309,2024-2025,Law,Library,4,2024-12-14,Average facilities
STU00034,2024-2025,Computer Science,Lab Facilities,3,2024-12-15,Average facilities
STU00025,2024-2025,Engineering,Medical Center,5,2024-12-19,Poor quality
STU00082,2024-2025,Computer Science,Student Center,4,2024-12-19,Not satisfied
STU00472,2024-2025,Education,Cafeteria,3,2024-12-19,Average facilities
STU00386,2024-2025,Medicine,Dormitory,2,2024-12-21,Satisfactory
STU00062,2023-2024,Business,Student Center,5,2024-12-22,Good experience
STU00429,2023-2024,Law,Lab Facilities,5,2024-12-23,Good experience
STU00233,2024-2025,Computer Science,Student Center,2,2024-12-25,Satisfactory
STU00211,2023-2024,Education,Library,2,2024-12-31,Very satisfied
